Gene ID	Associated Gene Name	chromosome	start	end	Strand	Band
ENSG00000170790	OR10A2	11	6890924	6891976	1	p15.4
ENSG00000170683	OR10A3	11	7960081	7961141	-1	p15.4
ENSG00000170782	OR10A4	11	6897856	6898850	1	p15.4
ENSG00000166363	OR10A5	11	6866883	6867936	1	p15.4
ENSG00000175393	OR10A6	11	7949180	7950209	-1	p15.4
ENSG00000179919	OR10A7	12	55614809	55615759	1	q13.2
ENSG00000180409	OR10AA1P	1	158778189	158779125	-1	q23.1
ENSG00000176716	OR10AB1P	11	7749632	7750935	1	p15.4
ENSG00000172640	OR10AD1	12	48596081	48597170	-1	q13.11
ENSG00000271890	OR10AE1P	1	159551410	159552438	-1	q23.2
ENSG00000272837	OR10AE3P	12	56039979	56040447	-1	q13.2
ENSG00000255416	OR10AF1P	11	55715596	55716400	-1	q12.1
ENSG00000174970	OR10AG1	11	55734975	55735990	-1	q12.1
ENSG00000272595	OR10AH1P	7	5156800	5157718	1	p22.1
ENSG00000254807	OR10AK1P	11	55724692	55725106	-1	q12.1
ENSG00000267961	OR10B1P	19	15251943	15252849	-1	p13.12
ENSG00000206474	OR10C1	6	29407083	29408731	1	p22.1
ENSG00000196403	OR10D1P	11	124029128	124030063	1	q24.2
ENSG00000197309	OR10D3	11	124055923	124056952	1	q24.2
ENSG00000186268	OR10D4P	11	123964289	123965239	-1	q24.2
ENSG00000213182	OR10D5P	11	123925577	123926414	1	q24.2
ENSG00000169202	OR10G1P	14	22070049	22070976	-1	q11.2
ENSG00000255582	OR10G2	14	22101992	22103096	-1	q11.2
ENSG00000169208	OR10G3	14	22037934	22038875	-1	q11.2
ENSG00000254737	OR10G4	11	123886282	123887217	1	q24.1
ENSG00000226461	OR10G5P	11	123880362	123880719	1	q24.1
ENSG00000198674	OR10G6	11	123864870	123865868	-1	q24.1
ENSG00000182634	OR10G7	11	123908773	123909717	-1	q24.2
ENSG00000234560	OR10G8	11	123900297	123901341	1	q24.2
ENSG00000236981	OR10G9	11	123893720	123894655	1	q24.1
ENSG00000186723	OR10H1	19	15917817	15918936	-1	p13.12
ENSG00000171942	OR10H2	19	15838834	15839862	1	p13.12
ENSG00000171936	OR10H3	19	15852203	15853153	1	p13.12
ENSG00000176231	OR10H4	19	16059818	16060768	1	p13.12
ENSG00000172519	OR10H5	19	15904761	15905892	1	p13.12
ENSG00000196184	OR10J1	1	159409512	159410600	1	q23.2
ENSG00000248642	OR10J2P	1	159248831	159249791	-1	q23.2
ENSG00000196266	OR10J3	1	159283460	159284449	-1	q23.2
ENSG00000249730	OR10J4	1	159401994	159402928	1	q23.2
ENSG00000184155	OR10J5	1	159504793	159505842	-1	q23.2
ENSG00000158731	OR10J6P	1	159568088	159569017	1	q23.2
ENSG00000248442	OR10J7P	1	159320883	159321816	1	q23.2
ENSG00000251686	OR10J8P	1	159335951	159336879	1	q23.2
ENSG00000249197	OR10J9P	1	159375213	159376199	-1	q23.2
ENSG00000173285	OR10K1	1	158435272	158436344	1	q23.1
ENSG00000180708	OR10K2	1	158389718	158390656	-1	q23.1
ENSG00000213181	OR10N1P	11	123975807	123976675	-1	q24.2
ENSG00000175398	OR10P1	12	56030644	56031638	1	q13.2
ENSG00000180475	OR10Q1	11	57995354	57996390	-1	q12.1
ENSG00000272900	OR10Q2P	11	58059298	58060237	-1	q12.1
ENSG00000227445	OR10R1P	1	158484575	158485715	1	q23.1
ENSG00000198965	OR10R2	1	158449668	158450675	1	q23.1
ENSG00000198703	OR10R3P	1	158461009	158461950	1	q23.1
ENSG00000196248	OR10S1	11	123847368	123848488	-1	q24.1
ENSG00000203758	OR10T1P	1	158414858	158415804	-1	q23.1
ENSG00000186306	OR10T2	1	158368312	158369256	-1	q23.1
ENSG00000227423	OR10U1P	12	55587666	55588570	-1	q13.2
ENSG00000172289	OR10V1	11	59480296	59481337	-1	q12.1
ENSG00000255538	OR10V2P	11	59516284	59517047	1	q12.1
ENSG00000254743	OR10V3P	11	59508798	59509522	1	q12.1
ENSG00000172772	OR10W1	11	58034264	58035732	-1	q12.1
ENSG00000186400	OR10X1	1	158548709	158549689	-1	q23.1
ENSG00000254403	OR10Y1P	11	59495992	59496965	1	q12.1
ENSG00000198967	OR10Z1	1	158576229	158577170	1	q23.1
ENSG00000204694	OR11A1	6	29393281	29424848	-1	p22.1
ENSG00000258468	OR11G1P	14	20647348	20648315	1	q11.2
ENSG00000196832	OR11G2	14	20665495	20666605	1	q11.2
ENSG00000130538	OR11H1	22	16448824	16449805	-1	q11.1
ENSG00000257115	OR11H12	14	19377522	19378606	1	q11.2
ENSG00000196143	OR11H13P	14	19806437	19807415	-1	q11.2
ENSG00000258453	OR11H2	14	20181104	20182079	-1	q11.2
ENSG00000258721	OR11H3P	15	22297499	22298480	-1	q11.2
ENSG00000176198	OR11H4	14	20710898	20711979	1	q11.2
ENSG00000258625	OR11H5P	14	20677399	20678369	1	q11.2
ENSG00000176219	OR11H6	14	20691791	20692964	1	q11.2
ENSG00000258806	OR11H7	14	20697561	20698500	1	q11.2
ENSG00000232791	OR11I1P	1	111396560	111397513	1	p13.3
ENSG00000261406	OR11J1P	15	22268269	22269196	-1	q11.2
ENSG00000258855	OR11J2P	15	21166004	21166910	1	q11.2
ENSG00000258494	OR11J5P	15	21174611	21175544	-1	q11.2
ENSG00000259324	OR11K1P	15	22318882	22319785	-1	q11.2
ENSG00000258438	OR11K2P	14	20201514	20230044	-1	q11.2
ENSG00000197591	OR11L1	1	248004199	248005254	-1	q44
ENSG00000224709	OR11M1P	12	49021671	49022565	1	q13.11
ENSG00000185903	OR11N1P	X	130458372	130459224	-1	q26.2
ENSG00000237650	OR11Q1P	X	130338102	130338978	1	q26.1
ENSG00000251608	OR12D1	6	29385057	29386003	1	p22.1
ENSG00000168787	OR12D2	6	29364416	29365448	1	p22.1
ENSG00000112462	OR12D3	6	29341200	29343068	-1	p22.1
ENSG00000256574	OR13A1	10	45798102	45811056	-1	q11.21
ENSG00000235248	OR13C1P	9	107419035	107419997	-1	q31.1
ENSG00000257019	OR13C2	9	107366924	107367951	-1	q31.1
ENSG00000204246	OR13C3	9	107298030	107299137	-1	q31.1
ENSG00000148136	OR13C4	9	107288534	107289490	-1	q31.1
ENSG00000255800	OR13C5	9	107360650	107361788	-1	q31.1
ENSG00000179443	OR13C6P	9	35991333	35992282	-1	p13.3
ENSG00000186943	OR13C8	9	107331449	107332411	1	q31.1
ENSG00000136839	OR13C9	9	107379529	107380485	-1	q31.1
